file_id,rf
j_1236720,3
j_1237098,3
j_1237611,3
j_1237814,3
j_1237867,3
j_1238710,5
j_1239135,5
j_1240228,5
j_1240758,0
j_124082,5
j_1240889,5
j_1241285,4
j_1241454,3
j_1241856,5
j_1242251,3
j_1242836,5
j_1243094,0
j_1243252,4
j_1243669,2
j_1243705,3
j_1243756,4
j_1244062,5
j_1244213,5
j_1244473,5
j_124500,5
j_124502,3
j_1245027,4
j_1245502,5
j_1245541,5
j_1246197,0
j_1246649,5
j_1247116,3
j_1247272,5
j_1247340,5
j_1247593,5
j_1248008,5
j_1248194,3
j_1248235,3
j_1248617,3
j_1249107,4
j_1249194,3
j_124953,5
j_1249798,3
j_1250257,4
j_1250402,5
j_1250452,5
j_12508,5
j_1251610,4
j_1251648,5
j_1252068,3
j_125215,5
j_1253101,5
j_1253481,3
j_1253495,5
j_1253805,4
j_1253820,3
j_1253984,0
j_1254183,5
j_1254960,5
j_1256541,5
j_1256718,5
j_1257103,5
j_1257668,5
j_1257761,3
j_1257961,3
j_1258398,5
j_1258972,0
j_1258973,3
j_1259016,5
j_1259416,3
j_1260037,0
j_126028,5
j_126059,5
j_1260707,5
j_1260760,4
j_1261087,2
j_1262560,0
j_126272,3
j_1263343,3
j_1263897,3
j_1264766,3
j_1264843,5
j_1264908,5
j_1265194,5
j_1266612,2
j_1266849,3
j_126708,0
j_1267240,4
j_1268368,3
j_1268515,3
j_126888,0
j_1269136,2
j_1269556,5
j_1270064,3
j_1270149,3
j_1270175,0
j_1270256,4
j_1270954,3
j_127115,3
j_1271398,5
j_1271751,3
j_1272373,5
j_1273726,2
j_1273919,3
j_1274139,3
j_1274405,3
j_1274744,3
j_127478,3
j_1275142,5
j_1275341,3
j_1276137,5
j_1276945,5
j_1277090,3
j_1277333,0
j_1277416,4
j_1277783,0
j_1277910,5
j_1277968,3
j_1278324,4
j_1278726,5
j_1278875,5
j_127937,5
j_1280813,2
j_1281503,5
j_1281616,5
j_1281859,2
j_1282087,0
j_1282763,3
j_1283156,4
j_1283657,0
j_1283781,5
j_1284170,3
j_1284583,3
j_1285057,0
j_1285080,3
j_1285374,5
j_1285738,3
j_1286555,5
j_1287000,5
j_1287486,3
j_1287590,4
j_1288849,3
j_1289765,3
j_1289790,5
j_1289863,2
j_1290126,4
j_1290197,4
j_1291185,3
j_1292005,5
j_1292050,3
j_1292547,3
j_1292958,5
j_1294526,5
j_1295130,5
j_1295218,0
j_1295324,2
j_1295526,4
j_1295690,4
j_1295721,5
j_1296769,5
j_1296789,0
j_1297488,3
j_12975,5
j_1297675,3
j_1297689,5
j_1298863,0
j_12990,5
j_1299180,0
j_1299503,5
j_130000,3
j_1300171,3
j_1300539,3
j_1301040,0
j_1301188,5
j_1301737,4
